,format
37,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/radish-black-cherry-fruits-leaves.jpg,2143,68,3196,975,Cherry-leaf"
38,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/potato-blight-showing-on-potato-plant-leaves-KJ70DB.jpg,131,551,580,873,Potato-leaf-early-blight"
39,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/potato-blight-showing-on-potato-plant-leaves-KJ70DB.jpg,181,341,712,646,Potato-leaf-early-blight"
40,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf-blueberry-plant-vaccinium-corymbosum-north-america-usa-bush-103375785.jpg,887,184,998,359,Blueberry-leaf"
41,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf-blueberry-plant-vaccinium-corymbosum-north-america-usa-bush-103375785.jpg,918,166,1120,390,Blueberry-leaf"
42,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf-blueberry-plant-vaccinium-corymbosum-north-america-usa-bush-103375785.jpg,757,197,884,400,Blueberry-leaf"
43,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf-blueberry-plant-vaccinium-corymbosum-north-america-usa-bush-103375785.jpg,649,331,790,479,Blueberry-leaf"
44,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf-blueberry-plant-vaccinium-corymbosum-north-america-usa-bush-103375785.jpg,367,297,669,491,Blueberry-leaf"
45,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf-blueberry-plant-vaccinium-corymbosum-north-america-usa-bush-103375785.jpg,800,525,999,679,Blueberry-leaf"
46,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/nPP7P.jpg,16,288,1190,808,Apple-rust-leaf"
47,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peach-leaf-isolated-white-background-42295151.jpg,952,145,1063,452,Peach-leaf"
48,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peach-leaf-isolated-white-background-42295151.jpg,961,476,1077,652,Peach-leaf"
49,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peach-leaf-isolated-white-background-42295151.jpg,96,380,975,670,Peach-leaf"
50,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peach-leaf-isolated-white-background-42295151.jpg,431,209,946,484,Peach-leaf"
51,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/septoria-leaf-spot-tomatoes2x2400-202yoxg.jpg,911,10,2093,912,Tomato-Septoria-leaf-spot"
52,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/septoria-leaf-spot-tomatoes2x2400-202yoxg.jpg,352,11,1050,651,Tomato-Septoria-leaf-spot"
53,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/septoria-leaf-spot-tomatoes2x2400-202yoxg.jpg,1,937,621,1806,Tomato-Septoria-leaf-spot"
54,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/septoria-leaf-spot-tomatoes2x2400-202yoxg.jpg,739,1349,1509,2285,Tomato-Septoria-leaf-spot"
55,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/image233.jpg,63,12,169,60,Tomato-mold-leaf"
56,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/image233.jpg,64,55,240,155,Tomato-mold-leaf"
57,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/gosswilt_TMB.jpg,1,47,340,234,Corn-leaf-blight"
58,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf-spot3-big.jpg,173,216,302,339,Tomato-leaf-bacterial-spot"
59,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf-spot3-big.jpg,216,48,310,141,Tomato-leaf-bacterial-spot"
60,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf-spot3-big.jpg,56,53,210,354,Tomato-leaf-bacterial-spot"
61,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf-spot3-big.jpg,254,100,534,417,Tomato-leaf-bacterial-spot"
62,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf_mold_tomato3x1200.jpg,118,29,1182,1600,Tomato-mold-leaf"
63,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/potato_ocw_botrytis-lateblight.jpg,340,4,715,358,Potato-leaf-late-blight"
64,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/green-leaf-picture-id177130309?b=1&k=6&m=177130309&s=612x612&w=0&h=VP3U0AM5j0fvQqOwuI5f7cmb2Ji88mVep0eoXQaJRfs=.jpg,103,21,612,396,Apple-leaf"
65,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/image0002.jpg,716,742,2049,2475,Apple-Scab-Leaf"
66,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/image0002.jpg,2142,442,3269,2482,Apple-Scab-Leaf"
67,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/p1020084s.jpg,285,64,516,245,Tomato-Early-blight-leaf"
68,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/p1020084s.jpg,338,244,483,469,Tomato-Early-blight-leaf"
69,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/p1020084s.jpg,130,337,293,486,Tomato-Early-blight-leaf"
70,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/p1020084s.jpg,508,391,779,573,Tomato-Early-blight-leaf"
71,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/p1020084s.jpg,564,296,800,434,Tomato-Early-blight-leaf"
72,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/p1020084s.jpg,523,129,659,300,Tomato-Early-blight-leaf"
73,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/gn201410308259997ar-jpg.jpg,159,113,631,346,Tomato-leaf"
74,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/gn201410308259997ar-jpg.jpg,483,343,674,433,Tomato-leaf"
75,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/gn201410308259997ar-jpg.jpg,315,437,479,499,Tomato-leaf"
76,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/gn201410308259997ar-jpg.jpg,386,513,489,598,Tomato-leaf"
77,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-growing-in-tree.jpg,301,58,454,326,Peach-leaf"
78,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-growing-in-tree.jpg,19,147,375,320,Peach-leaf"
79,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-growing-in-tree.jpg,237,294,461,461,Peach-leaf"
80,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-growing-in-tree.jpg,90,365,389,683,Peach-leaf"
81,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-growing-in-tree.jpg,1,319,288,489,Peach-leaf"
82,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-growing-in-tree.jpg,787,89,932,437,Peach-leaf"
83,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-growing-in-tree.jpg,802,56,992,142,Peach-leaf"
84,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/img_1028.jpg,559,404,2316,2397,Tomato-leaf"
85,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf_mold_nightshade1x500.jpg,1,6,497,667,Tomato-mold-leaf"
86,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/green-strawberry-leaf-isolated-white-single-background-78801856.jpg,23,415,652,890,Strawberry-leaf"
87,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/green-strawberry-leaf-isolated-white-single-background-78801856.jpg,473,6,897,565,Strawberry-leaf"
88,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/green-strawberry-leaf-isolated-white-single-background-78801856.jpg,666,375,1280,933,Strawberry-leaf"
89,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/img_1916.jpg,800,177,4075,3515,Apple-Scab-Leaf"
90,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/nclb3_rob_factsheetimage.jpg,70,275,300,577,Corn-leaf-blight"
91,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/nclb3_rob_factsheetimage.jpg,344,198,561,416,Corn-leaf-blight"
92,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/nclb3_rob_factsheetimage.jpg,741,340,904,660,Corn-leaf-blight"
93,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/nclb3_rob_factsheetimage.jpg,611,411,664,664,Corn-leaf-blight"
94,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/nclb3_rob_factsheetimage.jpg,708,214,827,451,Corn-leaf-blight"
95,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/nclb3_rob_factsheetimage.jpg,316,148,473,203,Corn-leaf-blight"
96,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/nclb3_rob_factsheetimage.jpg,729,106,857,344,Corn-leaf-blight"
97,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/nclb3_rob_factsheetimage.jpg,29,453,108,621,Corn-leaf-blight"
98,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/potato-late-blight-symptom-on-leaves-PGB5H9.jpg,503,162,729,475,Potato-leaf-late-blight"
99,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/potato-late-blight-symptom-on-leaves-PGB5H9.jpg,368,566,602,651,Potato-leaf-late-blight"
100,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/potato-late-blight-symptom-on-leaves-PGB5H9.jpg,426,1,607,214,Potato-leaf-late-blight"
101,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/potato-late-blight-symptom-on-leaves-PGB5H9.jpg,965,263,1300,391,Potato-leaf-late-blight"
102,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/potato-late-blight-symptom-on-leaves-PGB5H9.jpg,859,421,1050,663,Potato-leaf-late-blight"
103,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/grayleafspothybrid.jpg,1,5,431,264,Corn-Gray-leaf-spot"
104,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/early-blight-in-tomatoes.jpg,44,13,577,794,Tomato-Early-blight-leaf"
105,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/may27pepleaes002.jpg,141,186,974,542,Bell_pepper-leaf-spot"
106,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/may27pepleaes002.jpg,65,526,918,768,Bell_pepper-leaf-spot"
107,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,199,44,453,269,Raspberry-leaf"
108,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,351,339,564,591,Raspberry-leaf"
109,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,646,463,881,600,Raspberry-leaf"
110,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,530,268,706,407,Raspberry-leaf"
111,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,420,29,612,173,Raspberry-leaf"
112,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,184,234,358,390,Raspberry-leaf"
113,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,101,83,219,280,Raspberry-leaf"
114,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,124,449,364,595,Raspberry-leaf"
115,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,46,573,194,717,Raspberry-leaf"
116,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,31,408,135,574,Raspberry-leaf"
117,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,667,191,771,309,Raspberry-leaf"
118,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,694,311,778,451,Raspberry-leaf"
119,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,607,2,692,166,Raspberry-leaf"
120,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,494,158,643,287,Raspberry-leaf"
121,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,838,142,968,338,Raspberry-leaf"
122,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,847,65,1008,157,Raspberry-leaf"
123,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,745,87,881,185,Raspberry-leaf"
124,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,865,430,971,624,Raspberry-leaf"
125,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,789,594,949,733,Raspberry-leaf"
126,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,494,533,674,687,Raspberry-leaf"
127,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,294,571,503,710,Raspberry-leaf"
128,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,676,641,812,734,Raspberry-leaf"
129,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,631,685,679,772,Raspberry-leaf"
130,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaves-1024x783.jpg,620,577,681,688,Raspberry-leaf"
131,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/early_blight_tomato.jpg,447,359,516,489,Tomato-Early-blight-leaf"
132,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/early_blight_tomato.jpg,536,207,693,311,Tomato-Early-blight-leaf"
133,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/early_blight_tomato.jpg,356,251,434,320,Tomato-Early-blight-leaf"
134,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/early_blight_tomato.jpg,425,283,513,326,Tomato-Early-blight-leaf"
135,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/early_blight_tomato.jpg,703,153,842,264,Tomato-Early-blight-leaf"
136,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/early_blight_tomato.jpg,510,370,579,474,Tomato-Early-blight-leaf"
137,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/early_blight_tomato.jpg,331,92,430,191,Tomato-Early-blight-leaf"
138,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/early_blight_tomato.jpg,225,415,347,474,Tomato-Early-blight-leaf"
139,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/kdeficiency2.jpg,413,258,690,468,Soyabean-leaf"
140,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/kdeficiency2.jpg,178,275,371,475,Soyabean-leaf"
141,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/kdeficiency2.jpg,315,20,478,267,Soyabean-leaf"
142,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/fig1a_500.jpg,34,68,491,291,Potato-leaf-late-blight"
143,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/late_blight_tomato_leaf1x1200.jpg,35,15,1194,882,Tomato-leaf-late-blight"
144,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaf-ingredient-photo.jpg,29,149,261,321,Raspberry-leaf"
145,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaf-ingredient-photo.jpg,36,65,261,164,Raspberry-leaf"
146,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/raspberry-leaf-ingredient-photo.jpg,256,100,476,261,Raspberry-leaf"
147,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/fresh-green-raspberry-leaf-isolated-on-white-background-with-clipping-KH37NJ.jpg,334,37,928,890,Raspberry-leaf"
148,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/fresh-green-raspberry-leaf-isolated-on-white-background-with-clipping-KH37NJ.jpg,589,755,1075,1212,Raspberry-leaf"
149,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/fresh-green-raspberry-leaf-isolated-on-white-background-with-clipping-KH37NJ.jpg,22,743,601,1149,Raspberry-leaf"
150,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/scab_on_leaf.jpg,1,67,100,200,Apple-Scab-Leaf"
151,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/lb_leaf_lesions4x1200.jpg,22,528,781,1596,Tomato-leaf-late-blight"
152,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/disease.jpg,35,115,269,194,Corn-leaf-blight"
153,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/disease.jpg,70,187,196,299,Corn-leaf-blight"
154,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/disease.jpg,117,183,348,299,Corn-leaf-blight"
155,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/disease.jpg,69,36,324,135,Corn-leaf-blight"
156,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-w-leaves.jpg,1297,280,1624,1062,Peach-leaf"
157,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-w-leaves.jpg,1847,830,2162,1962,Peach-leaf"
158,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-w-leaves.jpg,1157,1237,1594,2032,Peach-leaf"
159,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-w-leaves.jpg,632,145,1319,797,Peach-leaf"
160,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-w-leaves.jpg,1524,60,2492,330,Peach-leaf"
161,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-w-leaves.jpg,2422,645,3189,867,Peach-leaf"
162,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-w-leaves.jpg,2002,1925,2949,2275,Peach-leaf"
163,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-w-leaves.jpg,852,2037,1664,2302,Peach-leaf"
164,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-w-leaves.jpg,172,2017,884,2302,Peach-leaf"
165,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-w-leaves.jpg,367,637,834,1610,Peach-leaf"
166,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/peaches-w-leaves.jpg,1,107,634,424,Peach-leaf"
167,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/rsz0731northernleafblightcigarshapedlesionsfig5.jpg,46,1,261,358,Corn-leaf-blight"
168,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/leaf_mold_tomato6x1200.jpg,947,502,1156,791,Tomato-mold-leaf"
